NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
1571,0.041797526,-0.022645459,-1.44595,0.0,-0.11018,-0.021351915,0.08792358,-0.0057055624,-0.009788141,0.0,0.0
1588,-0.019083321,-0.0058451286,1.6529601,0.0,-0.008648053,-0.015117115,0.041219834,-0.004844813,-0.004244385,0.0,0.0
1596,-0.06757355,-0.04856157,-1.3888648,0.0,-0.06518934,-0.04889262,0.06834748,-0.012977971,-0.009262201,0.0,0.0
1598,-0.048028007,0.01902249,-1.36144,0.0,-0.118506216,-0.008509357,0.11379066,-0.002760637,-0.010282114,0.0,0.0
1599,-0.04687559,-0.019602718,-1.4397699,0.0,-0.10540694,-0.02997441,0.054252367,-0.007313401,-0.009558225,0.0,0.0
1612,-0.08116307,-0.04951767,-1.3913127,0.0,-0.06694731,-0.035759687,0.08275835,-0.023728957,-0.010282114,0.0,0.0
1619,-0.016571406,0.028795343,-1.3722028,0.0,-0.03946789,-0.0061544133,0.032288253,0.12907195,-0.010049863,0.0,0.0
1624,-0.048028007,0.01902249,-1.36144,0.0,-0.118506216,-0.008509357,0.11379066,-0.002760637,-0.010282114,0.0,0.0
1638,0.09147703,0.050832305,-1.3825557,0.0,0.014931045,-0.005778039,0.1510041,-0.019649044,-0.009788141,0.0,0.0
1642,-0.05648098,-0.03337363,-1.4018722,0.0,-0.12891573,-0.037337158,0.069241785,-0.006316016,-0.009194927,0.0,0.0
1649,0.041797526,-0.022645459,-1.44595,0.0,-0.11018,-0.021351915,0.08792358,-0.0057055624,-0.009788141,0.0,0.0
1658,-0.107544966,-0.062958315,-1.3691757,0.0,-0.026358847,-0.05270908,0.08157565,-0.029155111,-0.00962691,0.0,0.0
1674,0.01947737,0.006584936,1.5502245,0.0,0.017198725,-0.014961846,0.058433186,0.0039050304,-0.0044646966,0.0,0.0
1681,-0.04594394,-0.026507214,-1.3610082,0.0,0.16219138,-0.14728276,0.1694275,0.020315604,-0.008615725,0.0,0.0
1693,-0.020873977,-0.0011621072,1.5914227,0.0,0.019483186,-0.01112644,0.04952431,0.014824763,-0.00569536,0.0,0.0
1704,-0.0113392975,-0.005149222,1.6590375,0.0,-0.025423123,-0.013990423,0.038593624,-0.0008721923,-0.004459516,0.0,0.0
1726,-0.033901677,-0.0111019015,-1.4291792,0.0,-0.09954312,-0.03674471,0.057578355,-0.00887661,-0.011205772,0.0,0.0
1733,0.041727424,-0.022645459,-1.4458947,0.0,-0.10932427,-0.021351915,0.08750313,-0.0057055624,-0.010208597,0.0,0.0
1744,-0.06160475,-0.048234086,-1.4049392,0.0,-0.10902541,-0.031725407,0.06697551,-0.006308474,-0.009387015,0.0,0.0
1751,-0.04907362,-0.04951767,-1.3988059,0.0,-0.09759457,-0.032183517,0.07327939,-0.008796725,-0.010282114,0.0,0.0
1762,-0.06160475,-0.048234086,-1.4049392,0.0,-0.10902541,-0.031725407,0.06697551,-0.006308474,-0.009387015,0.0,0.0
1773,-0.102747574,-0.023353716,-1.1569604,0.0,0.087626554,-0.008418351,0.2251031,0.07988462,-0.030441234,0.0,0.0
1783,0.032767564,-0.022684854,-1.4254884,0.0,-0.0966545,-0.019724388,0.036980316,0.018954175,-0.010049863,0.0,0.0
1787,-0.028276905,-0.08667782,-1.3537424,0.0,0.15018806,-0.08427999,0.1274255,0.013840707,-0.0069858627,0.0,0.0
1789,0.027891181,0.0055000456,1.546335,0.0,0.007680306,-0.010076868,0.059528925,0.0038658697,-0.004327036,0.0,0.0
1811,0.05001624,-0.01127632,-1.3791866,0.0,0.038044307,-0.043474477,0.13956326,0.005269047,-0.009788141,0.0,0.0
