NUM_OPER,FECHA_CORTE,particion,DIASMORA,TARGET,P_xgboost,P_lightgbm,P_ensemble
846,2018-03-31,val,0,0,0.20520487,0.028589734170967194,0.11689730422404103
846,2018-04-30,val,0,0,0.20520487,0.027398047202627934,0.1163014607398714
846,2019-12-31,val,0,0,0.21121049,0.038211465884355235,0.12471097757871326
849,2019-05-31,train,16,0,0.18134555,0.02253733459110265,0.10194144339857104
849,2019-06-30,train,46,1,0.8377466,0.9984089604834895,0.9180777903308561
849,2019-07-31,train,0,0,0.18174118,0.02399302236516728,0.10286710020045169
849,2019-08-31,train,0,0,0.18174118,0.02399302236516728,0.10286710020045169
849,2019-09-30,train,0,0,0.17462453,0.013326055463854368,0.09397529396251038
849,2019-10-31,train,0,0,0.17462453,0.01297210928698619,0.09379832087407629
849,2019-11-30,train,0,0,0.17462453,0.01297210928698619,0.09379832087407629
849,2019-12-31,train,0,0,0.17462453,0.014495335408071758,0.09455993393461908
860,2017-10-31,test,0,0,0.16982947,0.0026713466120265473,0.08625040975573176
860,2017-11-30,test,0,0,0.16982947,0.004920129689818001,0.08737480129462748
860,2017-12-31,test,0,0,0.16982947,0.007486193630627866,0.0886578332650324
860,2018-08-31,test,0,0,0.19599283,0.023771314456481566,0.10988207093597394
860,2018-09-30,test,0,0,0.16857491,0.002805158113446004,0.08569003622482527
860,2018-10-31,test,0,0,0.16857491,0.003132662172694715,0.08585378825444963
860,2018-11-30,test,0,0,0.16857491,0.0037768708540632996,0.08617589259513392
860,2018-12-31,test,0,0,0.16857491,0.003715557936343661,0.08614523613627409
860,2019-01-31,test,0,0,0.17500468,0.0015504081067721212,0.08827754204557738
860,2019-02-28,test,0,0,0.16857491,0.0029451128001032434,0.08576001356815388
860,2019-03-31,test,0,0,0.16857491,0.0029220967453655175,0.08574850554078502
860,2019-04-30,test,0,0,0.16857491,0.0029220967453655175,0.08574850554078502
860,2019-05-31,test,0,0,0.16857491,0.0029220967453655175,0.08574850554078502
860,2019-06-30,test,0,0,0.16857491,0.003004181871588083,0.0857895481038963
860,2019-07-31,test,0,0,0.16857491,0.0033803655593590432,0.08597763994778179
860,2019-08-31,test,0,0,0.16857491,0.0033803655593590432,0.08597763994778179
860,2019-09-30,test,0,0,0.16857491,0.0022558204225897474,0.08541536737939714
860,2019-10-31,test,0,0,0.16857491,0.0022558204225897474,0.08541536737939714
860,2019-11-30,test,0,0,0.16857491,0.0022558204225897474,0.08541536737939714
860,2019-12-31,test,0,0,0.16857491,0.002461787923090208,0.08551835112964737
876,2018-03-31,val,1,0,0.19328654,0.0194087252828843,0.10634763170348438
876,2019-04-30,val,0,0,0.1724001,0.00899547923531846,0.09069779062731423
876,2019-10-31,val,1,0,0.16864206,0.004200783155667636,0.08642142106210582
876,2019-12-31,val,0,0,0.16864206,0.005490077139351854,0.08706606805394793
883,2019-12-31,train,0,0,0.21426854,0.007843706474017165,0.11105612092480613
887,2017-11-30,train,0,0,0.16982947,0.009208775439917645,0.08951912416967729
887,2018-01-31,train,1,0,0.16982947,0.013617111634217088,0.09172329226682702
887,2018-02-28,train,0,0,0.19512627,0.022939533578811903,0.1090328994331056
887,2018-03-31,train,1,0,0.19328654,0.021873107156321823,0.10757982264020315
887,2018-04-30,train,0,0,0.17181152,0.018231253236622738,0.09502138714496847
887,2018-05-31,train,1,0,0.17181152,0.018231253236622738,0.09502138714496847
887,2018-06-30,train,0,0,0.1724001,0.015984454046070035,0.09419227803269002
887,2018-07-31,train,1,0,0.1724001,0.015984454046070035,0.09419227803269002
887,2018-08-31,train,1,0,0.1724001,0.016407985838683286,0.09440404392899664
887,2018-09-30,train,0,0,0.1724001,0.018191090162196253,0.09529559609075312
887,2018-10-31,train,1,0,0.1724001,0.013172831074396776,0.09278646654685338
887,2018-11-30,train,0,0,0.1724001,0.01162678074573647,0.09201344138252324
887,2018-12-31,train,1,0,0.1724001,0.01162678074573647,0.09201344138252324
887,2019-01-31,train,1,0,0.19040185,0.003712369711632047,0.09705711092126097
887,2019-02-28,train,0,0,0.1724001,0.00959106245847461,0.0909955822388923
887,2019-03-31,train,1,0,0.1724001,0.008504103590448035,0.09045210280487902
887,2019-04-30,train,0,0,0.1724001,0.00899547923531846,0.09069779062731423
887,2019-05-31,train,1,0,0.1724001,0.00899547923531846,0.09069779062731423
887,2019-06-30,train,0,0,0.1724001,0.008755534477985192,0.09057781824864759
887,2019-07-31,train,1,0,0.1724001,0.009724266799043629,0.09106218440917681
887,2019-08-31,train,1,0,0.1724001,0.008910848358512403,0.0906554751889112
887,2019-09-30,train,0,0,0.1724001,0.005413180238513222,0.08890664112891161
887,2019-10-31,train,1,0,0.16864206,0.004200783155667636,0.08642142106210582
887,2019-11-30,train,0,0,0.16864206,0.00503202342565121,0.0868370411970976
887,2019-12-31,train,1,0,0.16864206,0.005490077139351854,0.08706606805394793
927,2017-12-31,train,0,0,0.16982947,0.030098577865242435,0.0999640253823397
